metric,value,notes
starting_balance,,
current_balance,,
realized_pnl_usd,,
unrealized_pnl_usd,,
total_trade_groups,,
total_filled_legs,,
win_rate,,
profit_factor,,
expectancy_per_trade_usd,,
expectancy_r,,
average_win_usd,,
average_loss_usd,,
max_drawdown_usd,,
recovery_factor,,
average_planned_risk_usd,,
average_realized_r,,
average_hold_time_hours,,
average_margin_used_usd,,
rejection_rate,,
cancel_rate,,
